Time,Vision_Dist,Vicon_Dist,Dist_Err,Vision_Ang,Vicon_Ang,Ang_Err,Target_Type,Vision_Class,Cam_ID,Target_Global_Yaw,Robot_Speed
1766072801.3226385,0.8600,0.8358,0.0242,18.2500,20.8439,-2.5939,BALL,6,4,75.38,0.199
1766072801.3227088,1.4400,0.9557,0.4843,27.1100,36.3947,-9.2847,CAR ,2,4,2.24,0.000
1766072801.3726943,0.8500,0.8293,0.0207,19.8500,23.0064,-3.1564,BALL,6,4,75.38,0.207
1766072801.372751,1.6800,0.9516,0.7284,27.8200,38.5724,-10.7524,CAR ,2,4,2.24,0.000
1766072801.474726,0.8400,0.8195,0.0205,22.7400,27.3613,-4.6213,BALL,6,4,75.41,0.142
1766072801.4748127,2.2000,0.9450,1.2550,28.7800,42.9696,-14.1896,CAR ,2,4,2.24,0.000
1766072801.5755205,0.8300,0.8115,0.0185,24.9900,31.0059,-6.0159,BALL,6,4,75.34,0.096
1766072801.6257093,0.8600,0.8080,0.0520,25.9200,33.3972,-7.4772,BALL,6,4,75.38,0.074
1766072801.6759198,1.0100,0.8045,0.2055,26.8500,35.0114,-8.1614,BALL,6,4,75.36,0.069
1766072801.6771183,3.0300,0.9324,2.0976,58.6100,50.7864,7.8236,CAR ,2,6,2.22,0.000
1766072801.7296515,1.2700,0.8010,0.4690,27.8900,36.9401,-9.0501,BALL,6,4,75.38,0.067
1766072801.730888,2.3400,0.9289,1.4111,59.6600,52.7787,6.8813,CAR ,2,6,2.23,0.000
1766072801.7806098,1.5800,0.7985,0.7815,28.6800,39.1802,-10.5002,BALL,6,4,75.34,0.054
1766072801.781858,2.0000,0.9262,1.0738,59.8800,55.0712,4.8088,CAR ,2,6,2.23,0.000
1766072801.8331666,1.6100,0.9239,0.6861,60.8300,56.2657,4.5643,CAR ,2,6,2.23,0.046
1766072801.8332312,1.9600,0.7962,1.1638,29.3000,40.3297,-11.0297,BALL,6,4,75.38,0.000
1766072801.9339156,1.3800,0.9196,0.4604,61.5800,58.1840,3.3960,CAR ,2,6,2.23,0.044
1766072801.9340413,2.4400,0.7923,1.6477,29.8000,42.1532,-12.3532,BALL,6,4,75.38,0.000
1766072801.9835415,1.2200,0.9171,0.3029,61.9900,59.2934,2.6966,CAR ,2,6,2.21,0.054
1766072801.9836574,3.3400,0.7901,2.5499,30.3500,43.2106,-12.8606,BALL,6,4,75.36,0.000
1766072802.0333002,1.1000,0.9147,0.1853,62.4400,60.3116,2.1284,CAR ,2,6,2.23,0.058
1766072802.0333624,5.4400,0.7882,4.6518,30.9100,44.1681,-13.2581,BALL,6,4,75.39,0.000
1766072802.085413,1.0400,0.9122,0.1278,62.6800,61.3817,1.2983,CAR ,2,6,2.23,0.051
1766072802.135264,0.9800,0.9106,0.0694,63.4300,62.2072,1.2228,CAR ,2,6,2.22,0.038
1766072802.1855233,0.9400,0.9088,0.0312,64.0500,62.8712,1.1788,CAR ,2,6,2.23,0.044
1766072802.285019,0.9100,0.9044,0.0056,64.5800,64.2714,0.3086,CAR ,2,6,2.22,0.057
1766072802.2850914,2.5800,0.7803,1.7997,58.3000,47.8677,10.4323,BALL,6,6,75.36,0.000
1766072802.3362842,0.9100,0.9012,0.0088,64.8200,65.3107,-0.4907,CAR ,2,6,2.22,0.080
1766072802.3363488,2.2600,0.7780,1.4820,58.5500,48.8218,9.7282,BALL,6,6,75.39,0.000
1766072802.388953,0.9200,0.8989,0.0211,65.7300,65.8082,-0.0782,CAR ,2,6,2.23,0.068
1766072802.3890216,2.0700,0.7766,1.2934,58.8600,49.2523,9.6077,BALL,6,6,75.35,0.000
1766072802.4387596,0.9100,0.8966,0.0134,66.7700,66.1849,0.5851,CAR ,2,6,2.22,0.074
1766072802.4388309,1.8900,0.7753,1.1147,59.1100,49.5588,9.5512,BALL,6,6,75.36,0.000
1766072802.4893944,0.9200,0.8943,0.0257,67.4300,66.6265,0.8035,CAR ,2,6,2.23,0.073
1766072802.489477,1.7400,0.7738,0.9662,59.2300,49.9338,9.2962,BALL,6,6,75.40,0.000
