Time,Vision_Dist,Vision_Geo,Vision_Width,Vicon_Dist,Dist_Err,Vision_Ang,Vicon_Ang,Ang_Err,Target_Type,Vision_Class,Cam_ID
1766065944.8834171,0.2400,0.2400,1.9900,0.8333,-0.5933,28.4500,36.3480,-7.8980,CAR ,2,4
1766065944.9869566,0.2400,0.2400,2.2000,0.8204,-0.5804,28.7900,37.4283,-8.6383,CAR ,2,4
1766065945.0818067,0.2300,0.2300,2.4000,0.8096,-0.5796,29.0200,38.0941,-9.0741,CAR ,2,4
1766065945.1801188,0.2200,0.2200,2.5800,0.7984,-0.5784,29.2100,38.6904,-9.4804,CAR ,2,4
1766065945.2833703,0.2200,0.2200,2.9200,0.7873,-0.5673,29.3800,39.4240,-10.0440,CAR ,2,4
1766065945.3344533,0.6400,-1.0000,0.6400,0.6264,0.0136,22.1700,21.8911,0.2789,BALL,6,4
1766065945.3927777,0.2100,0.2100,3.1500,0.7758,-0.5658,29.7000,39.7531,-10.0531,CAR ,2,4
1766065945.4947062,0.2200,0.2200,4.0600,0.7648,-0.5448,30.1500,40.5450,-10.3950,CAR ,2,4
1766065945.5493104,0.2100,0.2100,6.1200,0.7589,-0.5489,30.7300,40.8643,-10.1343,CAR ,2,4
1766065945.6204681,0.6000,-1.0000,0.6000,0.5921,0.0079,23.1300,22.5553,0.5747,BALL,6,4
1766065945.6834242,0.6000,-1.0000,0.6000,0.5840,0.0160,23.1000,22.8406,0.2594,BALL,6,4
1766065945.7789016,0.6000,-1.0000,0.6000,0.5732,0.0268,23.1900,23.3991,-0.2091,BALL,6,4
1766065945.8374267,0.2000,0.2000,5.1400,0.7300,-0.5300,57.6100,42.1828,15.4272,CAR ,2,6
1766065945.8906684,0.6100,-1.0000,0.6100,0.5610,0.0490,23.2900,23.5345,-0.2445,BALL,6,4
1766065945.9493847,0.6000,-1.0000,0.6000,0.5549,0.0451,23.2400,23.6994,-0.4594,BALL,6,4
1766065946.0026233,0.6100,-1.0000,0.6100,0.5488,0.0612,23.2900,23.8800,-0.5900,BALL,6,4
1766065946.0562701,0.2100,0.2100,3.9100,0.7086,-0.4986,58.0000,43.4257,14.5743,CAR ,2,6
1766065946.1212225,0.6100,-1.0000,0.6100,0.5366,0.0734,23.3600,24.0235,-0.6635,BALL,6,4
1766065946.1882482,0.6100,-1.0000,0.6100,0.5301,0.0799,23.3400,24.1209,-0.7809,BALL,6,4
1766065946.242405,0.6100,-1.0000,0.6100,0.5240,0.0860,23.2800,24.1574,-0.8774,BALL,6,4
1766065946.311917,0.6000,-1.0000,0.6000,0.5179,0.0821,23.2200,24.4237,-1.2037,BALL,6,4
1766065946.3818176,0.2200,0.2200,2.8400,0.6817,-0.4617,58.6400,44.5829,14.0571,CAR ,2,6
1766065946.440189,0.6100,-1.0000,0.6100,0.5059,0.1041,23.3600,24.5412,-1.1812,BALL,6,4
1766065946.4993026,0.2200,0.2200,2.6000,0.6718,-0.4518,58.8300,44.7065,14.1235,CAR ,2,6
1766065946.5510037,0.2200,0.2200,2.5700,0.6679,-0.4479,58.8300,44.8321,13.9979,CAR ,2,6
1766065946.6027663,0.2200,0.2200,2.5600,0.6643,-0.4443,58.8400,45.0631,13.7769,CAR ,2,6
1766065946.6585603,0.2200,0.2200,2.5200,0.6602,-0.4402,58.8800,45.2710,13.6090,CAR ,2,6
1766065946.713145,0.2300,0.2300,2.4200,0.6562,-0.4262,59.0100,45.7572,13.2528,CAR ,2,6
1766065946.7857022,0.6000,-1.0000,0.6000,0.4790,0.1210,23.2300,25.2273,-1.9973,BALL,6,4
1766065946.839648,0.6100,-1.0000,0.6100,0.4750,0.1350,23.3600,25.2172,-1.8572,BALL,6,4
1766065946.8977556,0.6100,-1.0000,0.6100,0.4698,0.1402,23.3700,25.3523,-1.9823,BALL,6,4
1766065946.9800458,0.2200,0.2200,2.0800,0.6386,-0.4186,59.5400,46.6978,12.8422,CAR ,2,6
1766065947.0578592,0.6100,-1.0000,0.6100,0.4586,0.1514,23.2600,25.3359,-2.0759,BALL,6,4
1766065947.1391356,0.2200,0.2200,1.9900,0.6286,-0.4086,59.6500,46.9493,12.7007,CAR ,2,6
1766065947.198749,0.2200,0.2200,1.9100,0.6247,-0.4047,59.7800,47.0008,12.7792,CAR ,2,6
1766065947.257638,0.2200,0.2200,1.8400,0.6214,-0.4014,59.8900,47.3458,12.5442,CAR ,2,6
1766065947.3169003,0.2200,0.2200,1.7900,0.6182,-0.3982,60.0400,47.4963,12.5437,CAR ,2,6
1766065947.3734286,0.2200,0.2200,1.7300,0.6157,-0.3957,60.1400,47.6122,12.5278,CAR ,2,6
1766065947.435406,0.6000,-1.0000,0.6000,0.4350,0.1650,23.1300,25.5942,-2.4642,BALL,6,4
1766065947.5011778,0.6000,-1.0000,0.6000,0.4302,0.1698,23.1300,25.7158,-2.5858,BALL,6,4
1766065947.5519266,0.6000,-1.0000,0.6000,0.4275,0.1725,23.0900,25.9321,-2.8421,BALL,6,4
1766065947.6069098,0.6000,-1.0000,0.6000,0.4251,0.1749,23.1100,25.9800,-2.8700,BALL,6,4
1766065947.69653,0.2200,0.2200,1.4900,0.5987,-0.3787,60.8000,48.7082,12.0918,CAR ,2,6
1766065947.7632437,0.2300,0.2300,1.4800,0.5950,-0.3650,60.8200,48.7052,12.1148,CAR ,2,6
1766065947.814149,0.5900,-1.0000,0.5900,0.4127,0.1773,22.9700,25.6573,-2.6873,BALL,6,4
1766065947.8669152,0.2300,0.2300,1.4700,0.5895,-0.3595,60.8000,48.7596,12.0404,CAR ,2,6
1766065947.938772,0.5800,-1.0000,0.5800,0.4071,0.1729,22.6800,25.4377,-2.7577,BALL,6,4
1766065947.9968932,0.5700,-1.0000,0.5700,0.4044,0.1656,22.6400,25.3236,-2.6836,BALL,6,4
1766065948.0587149,0.2300,0.2300,1.4600,0.5818,-0.3518,60.8800,48.8775,12.0025,CAR ,2,6
1766065948.1113267,0.2300,0.2300,1.4500,0.5793,-0.3493,60.9100,49.0135,11.8965,CAR ,2,6
1766065948.1643152,0.5600,-1.0000,0.5600,0.3959,0.1641,22.3700,25.6354,-3.2654,BALL,6,4
1766065948.216494,0.5600,-1.0000,0.5600,0.3932,0.1668,22.4800,25.7965,-3.3165,BALL,6,4
1766065948.2779722,0.2300,0.2300,1.4200,0.5719,-0.3419,61.1000,50.0332,11.0668,CAR ,2,6
1766065948.329114,0.2200,0.2200,1.3600,0.5701,-0.3501,61.3300,50.0951,11.2349,CAR ,2,6
1766065948.4135118,0.5600,-1.0000,0.5600,0.3857,0.1743,22.4300,25.9412,-3.5112,BALL,6,4
1766065948.5023043,0.2200,0.2200,1.2900,0.5635,-0.3435,61.4700,50.2366,11.2334,CAR ,2,6
1766065948.5730002,0.5600,-1.0000,0.5600,0.3788,0.1812,22.3900,25.8419,-3.4519,BALL,6,4
1766065948.6241944,0.2200,0.2200,1.2900,0.5585,-0.3385,61.5000,50.3200,11.1800,CAR ,2,6
1766065948.685617,0.2100,0.2100,1.2300,0.5567,-0.3467,61.6900,50.5087,11.1813,CAR ,2,6
1766065948.744226,0.5500,-1.0000,0.5500,0.3725,0.1775,22.2500,25.9110,-3.6610,BALL,6,4
1766065948.8115861,0.5400,-1.0000,0.5400,0.3701,0.1699,22.1800,25.5253,-3.3453,BALL,6,4
1766065948.862267,0.5400,-1.0000,0.5400,0.3682,0.1718,22.0900,25.2420,-3.1520,BALL,6,4
1766065948.9197187,0.5300,-1.0000,0.5300,0.3657,0.1643,21.9000,25.1586,-3.2586,BALL,6,4
1766065948.9790523,0.5300,-1.0000,0.5300,0.3631,0.1669,21.8000,25.2418,-3.4418,BALL,6,4
1766065949.0367723,0.2100,0.2100,1.2800,0.5445,-0.3345,61.5200,50.4239,11.0961,CAR ,2,6
1766065949.0914576,0.5200,-1.0000,0.5200,0.3591,0.1609,21.6700,25.3845,-3.7145,BALL,6,4
1766065949.1417725,0.5200,-1.0000,0.5200,0.3581,0.1619,21.6700,25.7447,-4.0747,BALL,6,4
1766065949.2017324,0.2100,0.2100,1.2200,0.5400,-0.3300,61.8400,51.4905,10.3495,CAR ,2,6
1766065949.2631495,0.2100,0.2100,1.1900,0.5388,-0.3288,62.0200,51.5781,10.4419,CAR ,2,6
1766065949.3138647,0.2100,0.2100,1.1700,0.5378,-0.3278,62.1200,51.3328,10.7872,CAR ,2,6
1766065949.3692148,0.2100,0.2100,1.1500,0.5363,-0.3263,62.1200,50.9873,11.1327,CAR ,2,6
1766065949.4397495,0.5200,-1.0000,0.5200,0.3505,0.1695,21.6000,24.8290,-3.2290,BALL,6,4
1766065949.5116348,0.2100,0.2100,1.2200,0.5322,-0.3222,61.7300,50.4998,11.2302,CAR ,2,6
1766065949.562555,0.2100,0.2100,1.2200,0.5308,-0.3208,61.7200,50.6240,11.0960,CAR ,2,6
1766065949.624576,0.2100,0.2100,1.2300,0.5291,-0.3191,61.6900,50.7870,10.9030,CAR ,2,6
1766065949.6868072,0.2100,0.2100,1.2200,0.5274,-0.3174,61.7400,51.3237,10.4163,CAR ,2,6
1766065949.737078,0.2100,0.2100,1.1800,0.5264,-0.3164,61.9800,51.8386,10.1414,CAR ,2,6
1766065949.7942758,0.5100,-1.0000,0.5100,0.3398,0.1702,21.4600,26.0499,-4.5899,BALL,6,4
1766065949.8473887,0.5200,-1.0000,0.5200,0.3388,0.1812,21.6800,26.0156,-4.3356,BALL,6,4
1766065949.904966,0.2100,0.2100,1.0900,0.5229,-0.3129,62.5400,52.1908,10.3492,CAR ,2,6
1766065949.9610653,0.5200,-1.0000,0.5200,0.3357,0.1843,21.6400,25.4945,-3.8545,BALL,6,4
1766065950.0190198,0.2100,0.2100,1.0700,0.5204,-0.3104,62.4900,51.5853,10.9047,CAR ,2,6
1766065950.0695918,0.2100,0.2100,1.0800,0.5196,-0.3096,62.4500,51.3681,11.0819,CAR ,2,6
1766065950.1195085,0.2100,0.2100,1.1100,0.5188,-0.3088,62.3000,51.4267,10.8733,CAR ,2,6
1766065950.1770458,0.2100,0.2100,1.1100,0.5175,-0.3075,62.2800,51.4858,10.7942,CAR ,2,6
1766065950.2422867,0.4900,-1.0000,0.4900,0.3285,0.1615,20.9700,25.0858,-4.1158,BALL,6,4
1766065950.3045304,0.2100,0.2100,1.1000,0.5145,-0.3045,62.3300,52.0280,10.3020,CAR ,2,6
1766065950.3687449,0.2100,0.2100,1.0800,0.5124,-0.3024,62.4900,52.3255,10.1645,CAR ,2,6
1766065950.4222353,0.2100,0.2100,1.0500,0.5105,-0.3005,62.7100,52.6540,10.0560,CAR ,2,6
1766065950.4817927,0.4900,-1.0000,0.4900,0.3203,0.1697,21.1400,26.1073,-4.9673,BALL,6,4
1766065950.5558054,0.5000,-1.0000,0.5000,0.3182,0.1818,21.2400,25.8697,-4.6297,BALL,6,4
1766065950.6060302,0.5000,-1.0000,0.5000,0.3169,0.1831,21.2300,25.6953,-4.4653,BALL,6,4
